C_ID,T_ID,Text,Completion
11,0,"다음은 같은 소설에 대한 두 가지 홍보 문구입니다.
1번: ""황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 과연 그녀는 막대한 부를 손에 넣을 수 있을까?"" (좋아요 107개)
2번: ""황금의 땅, 꿈의 대륙을 향한 모험이 시작된다!"" (좋아요 734개)
어떤 문구가 사용자에게 더 효과적인 홍보 효과를 보였을까요?",2번 문구가 더 효과적이었습니다. 이유: 모델 응답을 받을 수 없습니다.
12,0,"다음은 같은 소설에 대한 두 가지 홍보 문구입니다.
1번: ""바다 건너 황금의 땅, 꿈의 신대륙을 찾아 나선 탐험가들의 이야기! 그 속에서 펼쳐지는 사랑과 우정, 그리고 배신과 복수! 과연 재클린은 무사히 프레스턴 경의 저택에 가정교사로 들어가 어머니를 모셔올 수 있을까?"" (좋아요 963개)
2번: ""황금의 땅을 찾아 떠난 아버지, 그리고 남겨진 '가난뱅이 영애' 재클린. 그녀의 앞에 나타난 윈저 프레스턴 후작과의 운명적인 만남!"" (좋아요 153개)
어떤 문구가 사용자에게 더 효과적인 홍보 효과를 보였을까요?",1번 문구가 더 효과적이었습니다. 이유: 모델 응답을 받을 수 없습니다.
13,0,"다음은 같은 소설에 대한 두 가지 홍보 문구입니다.
1번: ""가난뱅이 영애 재클린, 황금의 땅을 찾아 떠나다!"" (좋아요 731개)
2번: ""황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 그녀는 과연 막대한 부를 손에 넣을 수 있을까?"" (좋아요 588개)
어떤 문구가 사용자에게 더 효과적인 홍보 효과를 보였을까요?",1번 문구가 더 효과적이었습니다. 이유: 모델 응답을 받을 수 없습니다.
14,0,"다음은 같은 소설에 대한 두 가지 홍보 문구입니다.
1번: ""황금의 땅을 찾아 떠난 아버지, 그리고 남겨진 가난뱅이 영애 재클린. 그녀의 앞에 나타난 윈저 프레스턴 후작과의 운명적인 만남!"" (좋아요 445개)
2번: ""황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 몰락한 백작가의 영애에서 성공한 사업가로, 그녀의 인생 2회차가 시작된다!"" (좋아요 291개)
어떤 문구가 사용자에게 더 효과적인 홍보 효과를 보였을까요?",1번 문구가 더 효과적이었습니다. 이유: 모델 응답을 받을 수 없습니다.
15,0,"다음은 같은 소설에 대한 두 가지 홍보 문구입니다.
1번: ""가난뱅이 영애 재클린, 황금의 땅을 찾아 떠나다!"" (좋아요 842개)
2번: ""황금의 땅을 찾아 나선 탐험가들의 이야기, 그 속에서 펼쳐지는 로맨스와 모험의 대서사시!"" (좋아요 668개)
어떤 문구가 사용자에게 더 효과적인 홍보 효과를 보였을까요?",1번 문구가 더 효과적이었습니다. 이유: 모델 응답을 받을 수 없습니다.
16,0,"다음은 같은 소설에 대한 두 가지 홍보 문구입니다.
1번: ""황금의 땅을 찾아 떠난 아버지를 잃은 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 이들의 운명은 어떻게 될까?"" (좋아요 728개)
2번: ""가난뱅이 영애 재클린, 황금의 땅을 찾아 프레스턴 가로 향하다!"" (좋아요 263개)
어떤 문구가 사용자에게 더 효과적인 홍보 효과를 보였을까요?",1번 문구가 더 효과적이었습니다. 이유: 모델 응답을 받을 수 없습니다.
17,0,"다음은 같은 소설에 대한 두 가지 홍보 문구입니다.
1번: ""'꿈의 대륙'을 찾아 떠난 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 '검은 함대의 악마', 윈저 프레스턴. 두 사람의 운명적인 만남이 시작된다!"" (좋아요 236개)
2번: """"꿈의 대륙을 찾아 떠난 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 검은 함대의 악마, 윈저 프레스턴. 두 사람의 운명적인 만남이 시작된다!"""" (좋아요 857개)
어떤 문구가 사용자에게 더 효과적인 홍보 효과를 보였을까요?",2번 문구가 더 효과적이었습니다. 이유: 모델 응답을 받을 수 없습니다.
18,0,"다음은 같은 소설에 대한 두 가지 홍보 문구입니다.
1번: """"가난뱅이 영애 재클린, 귀족가의 가정교사가 되다!"""" (좋아요 928개)
2번: ""'꿈의 대륙'을 찾아 떠난 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 '검은 함대의 악마', 윈저 프레스턴. 두 사람의 운명적인 만남이 시작된다!"" (좋아요 290개)
어떤 문구가 사용자에게 더 효과적인 홍보 효과를 보였을까요?",1번 문구가 더 효과적이었습니다. 이유: 모델 응답을 받을 수 없습니다.
19,0,"다음은 같은 소설에 대한 두 가지 홍보 문구입니다.
1번: """"꿈의 대륙을 찾아 떠난 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 검은 함대의 악마, 윈저 프레스턴! 두 사람의 운명적인 만남이 시작된다!"""" (좋아요 333개)
2번: ""'꿈의 대륙'을 찾아 떠난 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 '검은 함대의 악마', 윈저 프레스턴. 두 사람의 운명적인 만남이 시작된다!"" (좋아요 474개)
어떤 문구가 사용자에게 더 효과적인 홍보 효과를 보였을까요?",2번 문구가 더 효과적이었습니다. 이유: 모델 응답을 받을 수 없습니다.
20,0,"다음은 같은 소설에 대한 두 가지 홍보 문구입니다.
1번: ""황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 과연 그녀는 막대한 부를 손에 넣고 행복해질 수 있을까?"" (좋아요 884개)
2번: ""가난뱅이 영애 재클린, 황금의 땅을 찾아 떠나다!"" (좋아요 744개)
어떤 문구가 사용자에게 더 효과적인 홍보 효과를 보였을까요?",1번 문구가 더 효과적이었습니다. 이유: 모델 응답을 받을 수 없습니다.
21,0,"다음은 같은 소설에 대한 두 가지 홍보 문구입니다.
1번: ""가난뱅이 영애 재클린, 귀족가의 가정교사가 되다!"" (좋아요 755개)
2번: ""황금의 땅을 찾아 나선 탐험가들의 이야기, 그 속에서 피어나는 사랑과 우정!"" (좋아요 726개)
어떤 문구가 사용자에게 더 효과적인 홍보 효과를 보였을까요?",1번 문구가 더 효과적이었습니다. 이유: 모델 응답을 받을 수 없습니다.
22,0,"다음은 같은 소설에 대한 두 가지 홍보 문구입니다.
1번: ""'꿈의 대륙'을 찾아 떠난 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 윈저 프레스턴 후작과의 운명적인 만남! 과연 재클린은 '가난뱅이 영애'라는 꼬리표를 떼고 새로운 삶을 시작할 수 있을까?"" (좋아요 610개)
2번: ""황금의 땅을 찾아 떠난 아버지, 하지만 그는 돌아오지 못했다. 하루 아침에 파산한 백작가의 '가난뱅이 영애' 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 이들의 운명은 어떻게 될 것인가?"" (좋아요 245개)
어떤 문구가 사용자에게 더 효과적인 홍보 효과를 보였을까요?",1번 문구가 더 효과적이었습니다. 이유: 모델 응답을 받을 수 없습니다.
23,0,"다음은 같은 소설에 대한 두 가지 홍보 문구입니다.
1번: ""황금의 땅을 찾아 떠난 아버지를 잃은 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 이들의 운명은 어떻게 될까?"" (좋아요 731개)
2번: ""황금의 땅을 찾아 떠난 아버지를 잃은 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 이들의 운명은 어떻게 될까?"" (좋아요 989개)
어떤 문구가 사용자에게 더 효과적인 홍보 효과를 보였을까요?",2번 문구가 더 효과적이었습니다. 이유: 모델 응답을 받을 수 없습니다.
24,0,"다음은 같은 소설에 대한 두 가지 홍보 문구입니다.
1번: ""황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 과연 그녀는 막대한 부를 손에 넣을 수 있을까?"" (좋아요 131개)
2번: ""황금의 땅을 찾아 나선 아버지의 실종, 그리고 파산한 백작가의 딸 재클린. 그녀가 귀족가의 망나니 도련님을 가르치기 위해 가정교사가 되었다! 과연 재클린은 도련님을 바른길로 인도하고 백작가를 다시 일으킬 수 있을 것인가?"" (좋아요 587개)
어떤 문구가 사용자에게 더 효과적인 홍보 효과를 보였을까요?",2번 문구가 더 효과적이었습니다. 이유: 모델 응답을 받을 수 없습니다.
25,0,"다음은 같은 소설에 대한 두 가지 홍보 문구입니다.
1번: ""황금의 땅을 찾아 떠난 아버지를 잃은 '가난뱅이 영애' 재클린, 그녀가 택한 일자리는 프레스턴 경의 저택의 가정교사! 하지만 그곳은 왕실과 후작가의 양육권 분쟁의 중심지였다. 과연 재클린은 무사히 가정교사 생활을 이어갈 수 있을까?"" (좋아요 622개)
2번: ""황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 과연 그녀는 새로운 삶을 찾을 수 있을까?"" (좋아요 800개)
어떤 문구가 사용자에게 더 효과적인 홍보 효과를 보였을까요?",2번 문구가 더 효과적이었습니다. 이유: 모델 응답을 받을 수 없습니다.
26,0,"다음은 같은 소설에 대한 두 가지 홍보 문구입니다.
1번: ""황금의 땅을 찾아 떠난 아버지, 하지만 그는 돌아오지 못했다. 하루 아침에 파산한 백작가의 '가난뱅이 영애' 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 두 사람의 운명은 어떻게 될까?"" (좋아요 686개)
2번: ""황금의 땅을 찾아 떠난 아버지를 잃은 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 이들의 운명은 어떻게 될까?"" (좋아요 703개)
어떤 문구가 사용자에게 더 효과적인 홍보 효과를 보였을까요?",2번 문구가 더 효과적이었습니다. 이유: 모델 응답을 받을 수 없습니다.
27,0,"다음은 같은 소설에 대한 두 가지 홍보 문구입니다.
1번: ""바다 건너 황금의 땅, 꿈의 신대륙을 향한 모험이 시작된다!"" (좋아요 250개)
2번: ""'꿈의 대륙'을 찾아 나선 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 '검은 함대의 악마', 윈저 프레스턴. 두 사람의 운명적인 만남이 시작된다!"" (좋아요 752개)
어떤 문구가 사용자에게 더 효과적인 홍보 효과를 보였을까요?",2번 문구가 더 효과적이었습니다. 이유: 모델 응답을 받을 수 없습니다.
28,0,"다음은 같은 소설에 대한 두 가지 홍보 문구입니다.
1번: """"꿈의 대륙을 찾아 떠난 아버지를 잃은 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 두 사람의 운명적인 만남이 시작된다!"""" (좋아요 783개)
2번: ""황금의 땅, 꿈의 대륙을 향한 모험! 재클린과 윈저의 운명적 만남이 시작된다!"" (좋아요 448개)
어떤 문구가 사용자에게 더 효과적인 홍보 효과를 보였을까요?",1번 문구가 더 효과적이었습니다. 이유: 모델 응답을 받을 수 없습니다.
29,0,"다음은 같은 소설에 대한 두 가지 홍보 문구입니다.
1번: ""황금의 땅을 찾아 떠난 아버지, 하지만 그는 돌아오지 못했다. 하루 아침에 파산한 백작가의 '가난뱅이 영애' 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 과연 그녀는 새로운 삶을 찾을 수 있을까?"" (좋아요 710개)
2번: ""가난뱅이 영애 재클린, 황금의 땅을 찾아 떠나다!"" (좋아요 358개)
어떤 문구가 사용자에게 더 효과적인 홍보 효과를 보였을까요?",1번 문구가 더 효과적이었습니다. 이유: 모델 응답을 받을 수 없습니다.
30,0,"다음은 같은 소설에 대한 두 가지 홍보 문구입니다.
1번: ""'꿈의 대륙'을 찾아 나선 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 '검은 함대의 악마', 윈저 프레스턴. 두 사람의 운명적인 만남이 시작된다!"" (좋아요 928개)
2번: ""가난뱅이 영애 재클린, 황금의 땅을 찾아 떠나다!"" (좋아요 184개)
어떤 문구가 사용자에게 더 효과적인 홍보 효과를 보였을까요?",1번 문구가 더 효과적이었습니다. 이유: 모델 응답을 받을 수 없습니다.
31,0,"다음은 같은 소설에 대한 두 가지 홍보 문구입니다.
1번: """"꿈의 대륙을 찾아 떠난 아버지, 하지만 그는 돌아오지 못했다. '가난뱅이 영애' 재클린은 프레스턴 경의 저택에 가정교사로 들어가면서 새로운 삶을 시작하는데..."""" (좋아요 514개)
2번: """"가난뱅이 영애, 재클린. 그녀의 앞에 나타난 검은 함대의 악마, 윈저 프레스턴! 과연 이들의 운명은 어떻게 될 것인가? 지금 바로 웹소설에서 확인하세요!"""" (좋아요 351개)
어떤 문구가 사용자에게 더 효과적인 홍보 효과를 보였을까요?",1번 문구가 더 효과적이었습니다. 이유: 모델 응답을 받을 수 없습니다.
32,0,"다음은 같은 소설에 대한 두 가지 홍보 문구입니다.
1번: ""황금의 땅을 찾아 떠난 아버지, 그리고 남겨진 '가난뱅이 영애' 재클린. 그녀의 앞에 나타난 윈저 프레스턴 후작과의 운명적인 만남!"" (좋아요 438개)
2번: ""바다 건너의 황금의 땅, 꿈의 신대륙을 찾아 떠나는 모험! 파산한 백작가의 영애 재클린과 검은 함대의 악마 윈저 프레스턴 후작의 운명적인 만남!"" (좋아요 973개)
어떤 문구가 사용자에게 더 효과적인 홍보 효과를 보였을까요?",2번 문구가 더 효과적이었습니다. 이유: 모델 응답을 받을 수 없습니다.
33,0,"다음은 같은 소설에 대한 두 가지 홍보 문구입니다.
1번: ""황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 과연 그녀는 막대한 부를 손에 넣고 행복해질 수 있을까?"" (좋아요 407개)
2번: ""황금의 땅을 찾아 떠난 아버지, 그리고 남겨진 '가난뱅이 영애' 재클린. 그녀의 앞에 나타난 윈저 프레스턴 후작과의 운명적인 만남!"" (좋아요 565개)
어떤 문구가 사용자에게 더 효과적인 홍보 효과를 보였을까요?",2번 문구가 더 효과적이었습니다. 이유: 모델 응답을 받을 수 없습니다.
34,0,"다음은 같은 소설에 대한 두 가지 홍보 문구입니다.
1번: ""황금의 땅을 찾아 떠난 아버지를 잃은 '가난뱅이 영애' 재클린, 그녀가 택한 일자리는 프레스턴 경의 저택의 가정교사! 과연 그녀는 무사히 일자리를 지킬 수 있을까?"" (좋아요 486개)
2번: ""황금의 땅을 찾아 떠난 아버지, 그리고 남겨진 가난뱅이 영애 재클린. 그녀의 앞에 나타난 검은 함대의 악마, 윈저 프레스턴! 과연 재클린은 새로운 삶을 찾을 수 있을 것인가?"" (좋아요 708개)
어떤 문구가 사용자에게 더 효과적인 홍보 효과를 보였을까요?",2번 문구가 더 효과적이었습니다. 이유: 모델 응답을 받을 수 없습니다.
35,0,"다음은 같은 소설에 대한 두 가지 홍보 문구입니다.
1번: """"꿈의 대륙을 찾아 떠난 아버지, 하지만 그는 돌아오지 못했다. 하루 아침에 파산한 백작가의 영애 재클린, 그녀는 프레스턴 경의 저택의 가정교사가 되는데..."""" (좋아요 977개)
2번: ""황금의 땅, 꿈의 대륙을 향한 모험이 시작된다!"" (좋아요 700개)
어떤 문구가 사용자에게 더 효과적인 홍보 효과를 보였을까요?",1번 문구가 더 효과적이었습니다. 이유: 모델 응답을 받을 수 없습니다.
36,0,"다음은 같은 소설에 대한 두 가지 홍보 문구입니다.
1번: ""황금의 땅을 찾아 떠난 아버지를 잃은 '가난뱅이 영애' 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 과연 그녀는 새로운 삶을 찾을 수 있을까?"" (좋아요 541개)
2번: ""황금의 땅을 찾아 떠난 아버지를 잃은 재클린, 그녀에게 찾아온 새로운 기회와 운명!"" (좋아요 661개)
어떤 문구가 사용자에게 더 효과적인 홍보 효과를 보였을까요?",2번 문구가 더 효과적이었습니다. 이유: 모델 응답을 받을 수 없습니다.
37,0,"다음은 같은 소설에 대한 두 가지 홍보 문구입니다.
1번: ""'꿈의 대륙'을 찾아 떠난 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 '검은 함대의 악마', 윈저 프레스턴. 두 사람의 운명적인 만남이 시작된다!"" (좋아요 240개)
2번: ""황금의 땅을 찾아 떠난 아버지를 잃은 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 이들의 운명은 어떻게 될까?"" (좋아요 928개)
어떤 문구가 사용자에게 더 효과적인 홍보 효과를 보였을까요?",2번 문구가 더 효과적이었습니다. 이유: 모델 응답을 받을 수 없습니다.
38,0,"다음은 같은 소설에 대한 두 가지 홍보 문구입니다.
1번: ""황금의 땅을 찾아 떠난 아버지, 그리고 남겨진 '가난뱅이 영애' 재클린. 그녀의 앞에 나타난 윈저 프레스턴 후작과의 운명적인 만남!"" (좋아요 993개)
2번: ""바다 건너 황금의 땅, 꿈의 신대륙을 향한 모험이 시작된다!"" (좋아요 114개)
어떤 문구가 사용자에게 더 효과적인 홍보 효과를 보였을까요?",1번 문구가 더 효과적이었습니다. 이유: 모델 응답을 받을 수 없습니다.
39,0,"다음은 같은 소설에 대한 두 가지 홍보 문구입니다.
1번: ""가난뱅이 영애, 재클린. 그녀의 앞에 나타난 '검은 함대의 악마' 윈저 프레스턴! 과연 그녀는 무사히 가정교사 생활을 이어갈 수 있을까?"" (좋아요 399개)
2번: ""황금의 땅을 찾아 떠난 아버지, 그리고 몰락한 백작가의 영애 재클린. 그녀가 택한 마지막 희망은 프레스턴 후작가의 가정교사! 과연 재클린은 무사히 가정교사로 살아남을 수 있을까?"" (좋아요 339개)
어떤 문구가 사용자에게 더 효과적인 홍보 효과를 보였을까요?",1번 문구가 더 효과적이었습니다. 이유: 모델 응답을 받을 수 없습니다.
40,0,"다음은 같은 소설에 대한 두 가지 홍보 문구입니다.
1번: ""황금의 땅을 찾아 떠난 아버지를 잃은 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 이들의 운명은 어떻게 될까?"" (좋아요 603개)
2번: ""황금의 땅을 찾아 떠난 아버지, 그리고 남겨진 '가난뱅이 영애' 재클린. 그녀의 앞에 나타난 윈저 프레스턴 후작과의 운명적인 만남! 과연 재클린은 새로운 삶을 찾을 수 있을 것인가?"" (좋아요 379개)
어떤 문구가 사용자에게 더 효과적인 홍보 효과를 보였을까요?",1번 문구가 더 효과적이었습니다. 이유: 모델 응답을 받을 수 없습니다.
41,0,"다음은 같은 소설에 대한 두 가지 홍보 문구입니다.
1번: ""황금의 땅, 꿈의 대륙을 향한 모험이 시작된다!"" (좋아요 126개)
2번: ""바다 건너 황금의 땅, 꿈의 신대륙을 찾아 나선 탐험가들의 이야기! 그 속에서 펼쳐지는 로맨스와 모험, 그리고 성장! 지금 바로 읽어보세요!"" (좋아요 479개)
어떤 문구가 사용자에게 더 효과적인 홍보 효과를 보였을까요?",2번 문구가 더 효과적이었습니다. 이유: 모델 응답을 받을 수 없습니다.
42,0,"다음은 같은 소설에 대한 두 가지 홍보 문구입니다.
1번: ""가난뱅이 영애, 재클린. 그녀의 앞에 나타난 검은 함대의 악마, 윈저 프레스턴! 과연 이 둘의 운명은 어떻게 될까?"" (좋아요 608개)
2번: ""바다 건너 황금의 땅, 꿈의 신대륙을 찾아 나선 모험가들의 이야기! 그 속에서 펼쳐지는 사랑과 우정, 그리고 배신. 과연 재클린은 무사히 프레스턴 경의 저택에 가정교사로 들어가 어머니를 모셔올 수 있을까?"" (좋아요 796개)
어떤 문구가 사용자에게 더 효과적인 홍보 효과를 보였을까요?",2번 문구가 더 효과적이었습니다. 이유: 모델 응답을 받을 수 없습니다.
43,0,"다음은 같은 소설에 대한 두 가지 홍보 문구입니다.
1번: ""황금의 땅을 찾아 나선 서머셋 백작의 딸, 재클린! 그녀의 앞에 나타난 윈저 프레스턴 후작과의 운명적인 만남! 과연 재클린은 새로운 삶을 찾을 수 있을 것인가?"" (좋아요 968개)
2번: ""황금의 땅을 찾아 나선 탐험가들의 이야기, 그 속에서 피어나는 사랑과 우정!"" (좋아요 239개)
어떤 문구가 사용자에게 더 효과적인 홍보 효과를 보였을까요?",1번 문구가 더 효과적이었습니다. 이유: 모델 응답을 받을 수 없습니다.
44,0,"다음은 같은 소설에 대한 두 가지 홍보 문구입니다.
1번: ""가난뱅이 영애 재클린, 황금의 땅을 찾아 떠나다!"" (좋아요 246개)
2번: ""황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 몰락한 백작가의 영애에서 성공한 사업가로, 그녀의 파란만장한 인생 역전 스토리!"" (좋아요 839개)
어떤 문구가 사용자에게 더 효과적인 홍보 효과를 보였을까요?",2번 문구가 더 효과적이었습니다. 이유: 모델 응답을 받을 수 없습니다.
45,0,"다음은 같은 소설에 대한 두 가지 홍보 문구입니다.
1번: ""황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 과연 그녀는 무사히 신대륙에 도착해 막대한 부를 얻을 수 있을까?"" (좋아요 844개)
2번: ""황금의 땅을 찾아 떠난 아버지, 하지만 그는 돌아오지 못했다. 하루 아침에 파산한 백작가의 '가난뱅이 영애' 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 이들의 운명은 어떻게 될 것인가?"" (좋아요 751개)
어떤 문구가 사용자에게 더 효과적인 홍보 효과를 보였을까요?",1번 문구가 더 효과적이었습니다. 이유: 모델 응답을 받을 수 없습니다.
46,0,"다음은 같은 소설에 대한 두 가지 홍보 문구입니다.
1번: ""바다 건너의 땅은 미지의 세계였고, 막대한 부를 가져다줄 황금의 땅이었다. 꿈의 대륙을 찾아 나선 재클린의 모험이 시작된다!"" (좋아요 920개)
2번: """"꿈의 대륙을 찾아 떠난 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 '검은 함대의 악마' 윈저 프레스턴. 두 사람의 운명적인 만남이 시작된다!"""" (좋아요 762개)
어떤 문구가 사용자에게 더 효과적인 홍보 효과를 보였을까요?",1번 문구가 더 효과적이었습니다. 이유: 모델 응답을 받을 수 없습니다.
