copy,scores
"황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 과연 그녀는 막대한 부를 손에 넣을 수 있을까?",5727
"황금의 땅, 꿈의 대륙을 향한 모험이 시작된다!",6376
"바다 건너 황금의 땅, 꿈의 신대륙을 찾아 나선 탐험가들의 이야기! 그 속에서 펼쳐지는 사랑과 우정, 그리고 배신과 복수! 과연 재클린은 무사히 프레스턴 경의 저택에 가정교사로 들어가 어머니를 모셔올 수 있을까?",9410
"황금의 땅을 찾아 떠난 아버지, 그리고 남겨진 '가난뱅이 영애' 재클린. 그녀의 앞에 나타난 윈저 프레스턴 후작과의 운명적인 만남!",3506
"가난뱅이 영애 재클린, 황금의 땅을 찾아 떠나다!",16539
"황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 그녀는 과연 막대한 부를 손에 넣을 수 있을까?",14303
"황금의 땅을 찾아 떠난 아버지, 그리고 남겨진 가난뱅이 영애 재클린. 그녀의 앞에 나타난 윈저 프레스턴 후작과의 운명적인 만남!",3472
"황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 몰락한 백작가의 영애에서 성공한 사업가로, 그녀의 인생 2회차가 시작된다!",11089
"가난뱅이 영애 재클린, 황금의 땅을 찾아 떠나다!",20110
"황금의 땅을 찾아 나선 탐험가들의 이야기, 그 속에서 펼쳐지는 로맨스와 모험의 대서사시!",12692
"황금의 땅을 찾아 떠난 아버지를 잃은 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 이들의 운명은 어떻게 될까?",14695
"가난뱅이 영애 재클린, 황금의 땅을 찾아 프레스턴 가로 향하다!",6801
"'꿈의 대륙'을 찾아 떠난 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 '검은 함대의 악마', 윈저 프레스턴. 두 사람의 운명적인 만남이 시작된다!",6830
"""꿈의 대륙을 찾아 떠난 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 검은 함대의 악마, 윈저 프레스턴. 두 사람의 운명적인 만남이 시작된다!""",11344
"""가난뱅이 영애 재클린, 귀족가의 가정교사가 되다!""",12441
"'꿈의 대륙'을 찾아 떠난 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 '검은 함대의 악마', 윈저 프레스턴. 두 사람의 운명적인 만남이 시작된다!",9828
"""꿈의 대륙을 찾아 떠난 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 검은 함대의 악마, 윈저 프레스턴! 두 사람의 운명적인 만남이 시작된다!""",6566
"'꿈의 대륙'을 찾아 떠난 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 '검은 함대의 악마', 윈저 프레스턴. 두 사람의 운명적인 만남이 시작된다!",3939
"황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 과연 그녀는 막대한 부를 손에 넣고 행복해질 수 있을까?",14175
"가난뱅이 영애 재클린, 황금의 땅을 찾아 떠나다!",10485
"가난뱅이 영애 재클린, 귀족가의 가정교사가 되다!",13402
"황금의 땅을 찾아 나선 탐험가들의 이야기, 그 속에서 피어나는 사랑과 우정!",8158
"'꿈의 대륙'을 찾아 떠난 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 윈저 프레스턴 후작과의 운명적인 만남! 과연 재클린은 '가난뱅이 영애'라는 꼬리표를 떼고 새로운 삶을 시작할 수 있을까?",8288
"황금의 땅을 찾아 떠난 아버지, 하지만 그는 돌아오지 못했다. 하루 아침에 파산한 백작가의 '가난뱅이 영애' 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 이들의 운명은 어떻게 될 것인가?",7348
"황금의 땅을 찾아 떠난 아버지를 잃은 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 이들의 운명은 어떻게 될까?",6441
"황금의 땅을 찾아 떠난 아버지를 잃은 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 이들의 운명은 어떻게 될까?",10977
"황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 과연 그녀는 막대한 부를 손에 넣을 수 있을까?",8682
"황금의 땅을 찾아 나선 아버지의 실종, 그리고 파산한 백작가의 딸 재클린. 그녀가 귀족가의 망나니 도련님을 가르치기 위해 가정교사가 되었다! 과연 재클린은 도련님을 바른길로 인도하고 백작가를 다시 일으킬 수 있을 것인가?",6870
"황금의 땅을 찾아 떠난 아버지를 잃은 '가난뱅이 영애' 재클린, 그녀가 택한 일자리는 프레스턴 경의 저택의 가정교사! 하지만 그곳은 왕실과 후작가의 양육권 분쟁의 중심지였다. 과연 재클린은 무사히 가정교사 생활을 이어갈 수 있을까?",7940
"황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 과연 그녀는 새로운 삶을 찾을 수 있을까?",5651
"황금의 땅을 찾아 떠난 아버지, 하지만 그는 돌아오지 못했다. 하루 아침에 파산한 백작가의 '가난뱅이 영애' 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 두 사람의 운명은 어떻게 될까?",8355
"황금의 땅을 찾아 떠난 아버지를 잃은 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 이들의 운명은 어떻게 될까?",8300
"바다 건너 황금의 땅, 꿈의 신대륙을 향한 모험이 시작된다!",8044
"'꿈의 대륙'을 찾아 나선 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 '검은 함대의 악마', 윈저 프레스턴. 두 사람의 운명적인 만남이 시작된다!",4597
"""꿈의 대륙을 찾아 떠난 아버지를 잃은 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 두 사람의 운명적인 만남이 시작된다!""",13179
"황금의 땅, 꿈의 대륙을 향한 모험! 재클린과 윈저의 운명적 만남이 시작된다!",15282
"황금의 땅을 찾아 떠난 아버지, 하지만 그는 돌아오지 못했다. 하루 아침에 파산한 백작가의 '가난뱅이 영애' 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 과연 그녀는 새로운 삶을 찾을 수 있을까?",7592
"가난뱅이 영애 재클린, 황금의 땅을 찾아 떠나다!",18693
"'꿈의 대륙'을 찾아 나선 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 '검은 함대의 악마', 윈저 프레스턴. 두 사람의 운명적인 만남이 시작된다!",13031
"가난뱅이 영애 재클린, 황금의 땅을 찾아 떠나다!",6223
"""꿈의 대륙을 찾아 떠난 아버지, 하지만 그는 돌아오지 못했다. '가난뱅이 영애' 재클린은 프레스턴 경의 저택에 가정교사로 들어가면서 새로운 삶을 시작하는데...""",15444
"""가난뱅이 영애, 재클린. 그녀의 앞에 나타난 검은 함대의 악마, 윈저 프레스턴! 과연 이들의 운명은 어떻게 될 것인가? 지금 바로 웹소설에서 확인하세요!""",4102
"황금의 땅을 찾아 떠난 아버지, 그리고 남겨진 '가난뱅이 영애' 재클린. 그녀의 앞에 나타난 윈저 프레스턴 후작과의 운명적인 만남!",8590
"바다 건너의 황금의 땅, 꿈의 신대륙을 찾아 떠나는 모험! 파산한 백작가의 영애 재클린과 검은 함대의 악마 윈저 프레스턴 후작의 운명적인 만남!",15624
"황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 과연 그녀는 막대한 부를 손에 넣고 행복해질 수 있을까?",13670
"황금의 땅을 찾아 떠난 아버지, 그리고 남겨진 '가난뱅이 영애' 재클린. 그녀의 앞에 나타난 윈저 프레스턴 후작과의 운명적인 만남!",10120
"황금의 땅을 찾아 떠난 아버지를 잃은 '가난뱅이 영애' 재클린, 그녀가 택한 일자리는 프레스턴 경의 저택의 가정교사! 과연 그녀는 무사히 일자리를 지킬 수 있을까?",9448
"황금의 땅을 찾아 떠난 아버지, 그리고 남겨진 가난뱅이 영애 재클린. 그녀의 앞에 나타난 검은 함대의 악마, 윈저 프레스턴! 과연 재클린은 새로운 삶을 찾을 수 있을 것인가?",20808
"""꿈의 대륙을 찾아 떠난 아버지, 하지만 그는 돌아오지 못했다. 하루 아침에 파산한 백작가의 영애 재클린, 그녀는 프레스턴 경의 저택의 가정교사가 되는데...""",10698
"황금의 땅, 꿈의 대륙을 향한 모험이 시작된다!",15781
"황금의 땅을 찾아 떠난 아버지를 잃은 '가난뱅이 영애' 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 과연 그녀는 새로운 삶을 찾을 수 있을까?",19972
"황금의 땅을 찾아 떠난 아버지를 잃은 재클린, 그녀에게 찾아온 새로운 기회와 운명!",9730
"'꿈의 대륙'을 찾아 떠난 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 '검은 함대의 악마', 윈저 프레스턴. 두 사람의 운명적인 만남이 시작된다!",16486
"황금의 땅을 찾아 떠난 아버지를 잃은 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 이들의 운명은 어떻게 될까?",10048
"황금의 땅을 찾아 떠난 아버지, 그리고 남겨진 '가난뱅이 영애' 재클린. 그녀의 앞에 나타난 윈저 프레스턴 후작과의 운명적인 만남!",21319
"바다 건너 황금의 땅, 꿈의 신대륙을 향한 모험이 시작된다!",11923
"가난뱅이 영애, 재클린. 그녀의 앞에 나타난 '검은 함대의 악마' 윈저 프레스턴! 과연 그녀는 무사히 가정교사 생활을 이어갈 수 있을까?",15049
"황금의 땅을 찾아 떠난 아버지, 그리고 몰락한 백작가의 영애 재클린. 그녀가 택한 마지막 희망은 프레스턴 후작가의 가정교사! 과연 재클린은 무사히 가정교사로 살아남을 수 있을까?",15554
"황금의 땅을 찾아 떠난 아버지를 잃은 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 이들의 운명은 어떻게 될까?",16314
"황금의 땅을 찾아 떠난 아버지, 그리고 남겨진 '가난뱅이 영애' 재클린. 그녀의 앞에 나타난 윈저 프레스턴 후작과의 운명적인 만남! 과연 재클린은 새로운 삶을 찾을 수 있을 것인가?",7896
"황금의 땅, 꿈의 대륙을 향한 모험이 시작된다!",9235
"바다 건너 황금의 땅, 꿈의 신대륙을 찾아 나선 탐험가들의 이야기! 그 속에서 펼쳐지는 로맨스와 모험, 그리고 성장! 지금 바로 읽어보세요!",3428
"가난뱅이 영애, 재클린. 그녀의 앞에 나타난 검은 함대의 악마, 윈저 프레스턴! 과연 이 둘의 운명은 어떻게 될까?",12206
"바다 건너 황금의 땅, 꿈의 신대륙을 찾아 나선 모험가들의 이야기! 그 속에서 펼쳐지는 사랑과 우정, 그리고 배신. 과연 재클린은 무사히 프레스턴 경의 저택에 가정교사로 들어가 어머니를 모셔올 수 있을까?",6326
"황금의 땅을 찾아 나선 서머셋 백작의 딸, 재클린! 그녀의 앞에 나타난 윈저 프레스턴 후작과의 운명적인 만남! 과연 재클린은 새로운 삶을 찾을 수 있을 것인가?",8545
"황금의 땅을 찾아 나선 탐험가들의 이야기, 그 속에서 피어나는 사랑과 우정!",2317
"가난뱅이 영애 재클린, 황금의 땅을 찾아 떠나다!",7604
"황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 몰락한 백작가의 영애에서 성공한 사업가로, 그녀의 파란만장한 인생 역전 스토리!",13838
"황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 과연 그녀는 무사히 신대륙에 도착해 막대한 부를 얻을 수 있을까?",11250
"황금의 땅을 찾아 떠난 아버지, 하지만 그는 돌아오지 못했다. 하루 아침에 파산한 백작가의 '가난뱅이 영애' 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 이들의 운명은 어떻게 될 것인가?",11853
"바다 건너의 땅은 미지의 세계였고, 막대한 부를 가져다줄 황금의 땅이었다. 꿈의 대륙을 찾아 나선 재클린의 모험이 시작된다!",12080
"""꿈의 대륙을 찾아 떠난 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 '검은 함대의 악마' 윈저 프레스턴. 두 사람의 운명적인 만남이 시작된다!""",11505
"황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 과연 그녀는 무사히 신대륙에 도착해 막대한 부를 거머쥘 수 있을까?",9981
"""꿈의 대륙을 찾아 나선 서머셋 백작 가의 이야기, 지금 바로 시작합니다!""",14283
"황금의 땅을 찾아 떠난 아버지, 하지만 그는 돌아오지 못했다. 하루 아침에 파산한 백작가의 영애 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 두 사람의 운명은 어떻게 될까?",11092
"황금의 땅을 찾아 나선 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 검은 함대의 악마, 윈저 프레스턴. 두 사람의 운명적인 만남이 시작된다!",11597
"바다 건너의 땅은 미지의 세계였고, 그에게 막대한 부를 가져다줄 황금의 땅이었다. 하지만 그곳은 아무나 갈 수 없는 땅이었다. 수개월의 항해 끝에야 간신히 다다를 수 있는 신비의 대륙. 죽음의 협곡이라 불리는 골짜기를 통과해야 했고, 불시에 찾아오는 거센 태풍을 이겨내야 했다. 해적의 눈에 띄지 않을 운도 필요했다. 꿈의 대륙이라 불리는 이곳에 발을 디딜 용기있는 자는 누구인가?",7264
"가난뱅이 영애 재클린, 황금의 땅을 찾아 떠나다!",12170
"'꿈의 대륙'을 찾아 떠난 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 윈저 프레스턴 후작과의 운명적인 만남! 과연 재클린은 '가난뱅이 영애'에서 벗어나 새로운 삶을 시작할 수 있을까?",2419
"황금의 땅을 찾아 떠난 아버지를 잃은 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 이들의 운명은 어떻게 될 것인가?",9855
"가난뱅이 영애 재클린, 황금의 땅을 찾아 떠나다!",6084
"가난뱅이 영애 재클린, 귀족가의 가정교사가 되다!",7092
"황금의 땅을 찾아 떠난 아버지, 하지만 그는 돌아오지 못했다. 하루 아침에 파산한 백작가의 '가난뱅이 영애' 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 이들의 운명은 어떻게 될 것인가?",11530
"황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 과연 그녀는 새로운 삶을 찾을 수 있을까?",5067
"황금의 땅을 찾아 떠난 아버지를 잃은 '가난뱅이 영애' 재클린, 그녀가 향한 곳은 윈저 프레스턴 후작의 저택! 과연 그녀는 이곳에서 새로운 삶을 찾을 수 있을까?",12331
"가난뱅이 영애, 재클린. 그녀의 앞에 나타난 '검은 함대의 악마' 윈저 프레스턴! 과연 그녀는 새로운 삶을 찾을 수 있을 것인가?",13398
"가난뱅이 영애, 재클린. 그녀의 앞에 나타난 검은 함대의 악마, 윈저 프레스턴! 과연 이들의 운명은 어떻게 될 것인가?",3836
"바다 건너 황금의 땅, 꿈의 신대륙을 향한 모험! 파산한 백작가의 영애 재클린과 검은 함대의 악마 윈저 프레스턴 후작의 운명적 만남!",4450
"황금의 땅을 찾아 떠난 아버지를 잃은 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 이들의 운명은 어떻게 될까?",7313
"황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 몰락한 백작가의 영애에서 성공한 사업가로, 그녀의 인생 2회차가 시작된다!",10045
"'꿈의 대륙'을 찾아 떠난 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 '검은 함대의 악마', 윈저 프레스턴. 두 사람의 운명적인 만남이 시작된다!",9474
"""가난뱅이 영애 재클린, 황금의 땅을 찾아 나서다! 모험과 사랑이 기다리는 웹소설, 지금 바로 읽어보세요!""",6923
"가난뱅이 영애 재클린, 귀족가의 가정교사가 되다!",8309
"황금의 땅, 꿈의 대륙을 향한 모험! 재클린과 윈저의 운명적 만남이 시작된다!",3772
"'꿈의 대륙'을 찾아 떠난 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 '검은 함대의 악마', 윈저 프레스턴. 두 사람의 운명적인 만남이 시작된다!",13756
"황금의 땅을 찾아 나선 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 검은 함대의 악마, 윈저 프레스턴. 두 사람의 운명적인 만남이 시작된다!",7369
"가난뱅이 영애 재클린, 황금의 땅을 찾아 떠나다!",13640
"황금의 땅을 찾아 떠난 아버지를 잃은 재클린, 그녀에게 찾아온 새로운 기회와 운명!",13767
"""가난뱅이 영애 재클린, 황금의 땅을 찾아 프레스턴 가로 향하다!""",11691
"""꿈의 대륙을 찾아 떠난 아버지를 잃은 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 과연 재클린은 새로운 삶을 찾을 수 있을까?""",5418
"'꿈의 대륙'을 찾아 나선 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 '검은 함대의 악마', 윈저 프레스턴. 두 사람의 운명적인 만남이 시작된다!",12095
"황금의 땅을 찾아 떠난 아버지, 하지만 그는 돌아오지 못했다. 하루 아침에 파산한 백작가의 '가난뱅이 영애' 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 이들의 운명은 어떻게 될 것인가?",4588
"가난뱅이 영애 재클린, 황금의 땅을 찾아 프레스턴 가로!",7140
"황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 과연 그녀는 새로운 삶을 찾을 수 있을까?",6600
"황금의 땅을 찾아 떠난 아버지를 잃은 '가난뱅이 영애' 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 이들의 운명은 어떻게 될 것인가?",9123
"황금의 땅, 꿈의 대륙을 향한 모험! 재클린과 윈저의 운명적 만남이 시작된다!",12676
"황금의 땅을 찾아 나선 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 '검은 함대의 악마' 윈저 프레스턴! 과연 재클린은 무사히 가정교사 생활을 이어갈 수 있을까?",5410
"황금의 땅을 찾아 떠난 아버지를 잃은 '가난뱅이 영애' 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 이들의 운명은 어떻게 될까?",6778
"황금의 땅을 찾아 떠난 아버지를 잃은 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 이들의 운명은 어떻게 될까?",8339
"황금의 땅을 찾아 떠난 아버지를 잃은 '가난뱅이 영애' 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 이들의 운명은 어떻게 될 것인가?",5359
"황금의 땅을 찾아 떠난 아버지, 하지만 그는 돌아오지 못했다. 하루 아침에 파산한 백작가의 '가난뱅이 영애' 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 이들의 운명은 어떻게 될 것인가?",8938
"가난뱅이 영애 재클린, 귀족가의 도련님을 가르치다!",10982
"황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 몰락한 백작가의 영애에서 성공한 사업가로, 그녀의 파란만장한 일대기가 펼쳐진다!",8565
"황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 그녀는 과연 막대한 부를 손에 넣을 수 있을까?",12040
"""꿈의 대륙을 찾아 나선 서머셋 백작 가의 영애, 재클린. 그녀의 앞에 나타난 검은 함대의 악마, 윈저 프레스턴. 두 사람의 운명적인 만남이 시작된다!""",10559
"가난뱅이 영애 재클린, 황금의 땅을 찾아 떠나다!",11203
"황금의 땅을 찾아 떠난 아버지를 잃은 '가난뱅이 영애' 재클린, 그녀가 택한 일자리는 프레스턴 경의 저택의 가정교사! 과연 그녀는 무사히 일자리를 지킬 수 있을까?",12118
"""가난뱅이 영애, 재클린. 그녀의 앞에 나타난 윈저 프레스턴 후작! 두 사람의 운명은 어떻게 될까?""",7402
"황금의 땅을 찾아 떠난 아버지, 그리고 몰락한 백작가의 영애 재클린. 그녀가 향한 곳은 윈저 프레스턴 후작의 저택?! 과연 재클린은 새로운 삶을 찾을 수 있을까?",10003
"황금의 땅, 꿈의 대륙을 향한 모험이 시작된다!",8674
"가난뱅이 영애 재클린, 귀족가의 가정교사가 되다!",7643
"황금의 땅을 찾아 떠난 아버지를 잃은 '가난뱅이 영애' 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 이들의 운명은 어떻게 될까?",10013
"황금의 땅을 찾아 나선 아버지를 잃은 '가난뱅이 영애' 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 두 사람의 운명은 어떻게 이어질까?",2975
"황금의 땅을 찾아 나선 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 '검은 함대의 악마' 윈저 프레스턴! 과연 재클린은 무사히 가정교사 생활을 이어갈 수 있을까?",12887
"가난뱅이 영애 재클린, 귀족가의 가정교사가 되다!",4126
"'꿈의 대륙'을 찾아 나선 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 '검은 함대의 악마', 윈저 프레스턴 후작! 과연 재클린은 프레스턴 후작가의 가정교사로 무사히 살아남을 수 있을까?",7985
"바다 건너 황금의 땅, 꿈의 신대륙을 찾아 나선 탐험가들의 이야기! 그 속에서 펼쳐지는 사랑과 우정, 그리고 배신과 복수! 과연 재클린은 무사히 프레스턴 경의 저택에 가정교사로 들어가 어머니를 모셔올 수 있을까?",5796
"황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 몰락한 백작가의 영애에서 제국의 황후로, 그녀의 화려한 변신이 시작된다!",14334
"황금의 땅을 찾아 나선 아버지를 잃은 '가난뱅이 영애' 재클린, 그녀가 향한 곳은 프레스턴 후작의 저택! 과연 그녀는 이곳에서 새로운 삶을 찾을 수 있을까?",7876
"황금의 땅을 찾아 떠난 아버지를 잃은 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 이들의 운명은 어떻게 될까?",8073
"황금의 땅을 찾아 떠난 아버지를 잃은 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 이들의 운명은 어떻게 될 것인가?",11363
"황금의 땅을 찾아 나선 탐험가들의 이야기, 그 속에서 펼쳐지는 로맨스와 모험의 대서사시!",8146
"'꿈의 대륙'을 찾아 떠난 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 '검은 함대의 악마', 윈저 프레스턴 후작! 과연 재클린은 무사히 가정교사 생활을 이어갈 수 있을까?",5482
"황금의 땅을 찾아 나선 탐험가들의 이야기, 그 속에서 피어나는 사랑과 우정!",11540
"가난뱅이 영애 재클린, 황금의 땅을 찾아 떠나다!",3091
"황금의 땅을 찾아 떠난 아버지, 그리고 남겨진 가난뱅이 영애 재클린. 그녀의 앞에 나타난 검은 함대의 악마, 윈저 프레스턴! 과연 재클린은 새로운 삶을 찾을 수 있을 것인가?",5645
"황금의 땅을 찾아 나선 아버지의 실종, 그리고 파산한 백작가의 딸 재클린. 그녀가 향한 곳은 프레스턴 후작가의 저택, 그리고 그곳에서 만난 것은 '검은 함대의 악마'라 불리는 윈저 프레스턴! 과연 재클린은 새로운 삶을 찾을 수 있을 것인가?",5237
"가난뱅이 영애, 재클린. 그녀의 앞에 나타난 검은 함대의 악마, 윈저 프레스턴! 과연 이들의 운명은 어떻게 될 것인가?",5869
"황금의 땅, 꿈의 대륙을 향한 모험! 재클린과 윈저의 운명적 만남이 시작된다!",5422
"""꿈의 대륙을 찾아 떠난 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 검은 함대의 악마, 윈저 프레스턴! 두 사람의 운명적인 만남이 시작된다.""",6309
"가난뱅이 영애 재클린, 귀족가의 가정교사가 되다!",4161
"황금의 땅을 찾아 나선 아버지를 잃은 '가난뱅이 영애' 재클린, 그녀가 향한 곳은 프레스턴 후작의 저택! 과연 그녀는 이곳에서 새로운 삶을 찾을 수 있을까?",10013
"바다 건너 황금의 땅, 꿈의 신대륙을 찾아 나선 탐험가들의 이야기! 과연 그들은 무사히 신대륙을 발견하고 막대한 부를 손에 넣을 수 있을까?",5039
"황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 과연 그녀는 새로운 삶을 찾을 수 있을까?",5259
"황금의 땅을 찾아 떠난 아버지, 그리고 몰락한 백작가의 영애 재클린. 그녀가 그리는 새로운 삶과 사랑의 여정!",2380
"황금의 땅을 찾아 나선 탐험가들의 이야기, 그 속에서 펼쳐지는 로맨스와 모험의 대서사시!",8227
"황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 과연 그녀는 막대한 부를 손에 넣고 행복을 찾을 수 있을까?",1981
"""가난뱅이 영애 재클린, 귀족가의 가정교사가 되다! 황금의 땅을 찾아 떠난 아버지의 실종, 빚쟁이들에게 넘어갈 위기에 처한 가문. 재클린은 과연 이 위기를 극복할 수 있을까?""",3684
"가난뱅이 영애 재클린, 황금의 땅을 찾아 떠난 아버지를 기다리며 빚쟁이들에게 쫓기다!",5036
"'꿈의 대륙'을 찾아 떠난 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 '검은 함대의 악마', 윈저 프레스턴. 두 사람의 운명적인 만남이 시작된다!",3464
"황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 과연 그녀는 새로운 삶을 찾을 수 있을까?",9359
"황금의 땅을 찾아 떠난 아버지, 하지만 그는 돌아오지 못했다. 하루 아침에 파산한 백작가의 영애 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작. 두 사람의 운명은 어떻게 될까?",4371
